State_Name,Year,Median_Home_Value
AK,2018,292855.92568425764
AK,2019,306141.40061969863
AK,2020,317136.6425021372
AK,2021,334507.77072910726
AK,2022,356421.13481572975
AK,2023,358097.6192928726
AK,2024,363466.5262947292
AL,2018,138391.02185897512
AL,2019,145333.04050675602
AL,2020,156389.80985721905
AL,2021,176436.48601223843
AL,2022,197708.55470966667
AL,2023,203023.5027954465
AL,2024,207991.39756920663
AR,2018,119356.4400755665
AR,2019,123678.55852460404
AR,2020,131854.62868217228
AR,2021,147787.31852351618
AR,2022,162186.37187570293
AR,2023,165087.06147006774
AR,2024,169444.70733933264
AZ,2018,207533.99795310848
AZ,2019,223521.7533547619
AZ,2020,243981.92616434014
AZ,2021,296395.25116704806
AZ,2022,350000.3548709504
AZ,2023,347264.5734413164
AZ,2024,358126.17416564794
CA,2018,425566.11128830584
CA,2019,438592.64399305725
CA,2020,457611.4779429415
CA,2021,528182.1772642082
CA,2022,593903.6939549354
CA,2023,580671.7716548912
CA,2024,601193.34498897
CO,2018,356484.301709622
CO,2019,376909.54526185815
CO,2020,398703.30851038353
CO,2021,473144.6714955783
CO,2022,561764.5056492494
CO,2023,563471.8953291053
CO,2024,581541.9869474887
CT,2018,261900.94260187214
CT,2019,263987.76437126513
CT,2020,275156.47189976345
CT,2021,319251.13501769013
CT,2022,355476.263389763
CT,2023,380616.54277582455
CT,2024,416097.66865912796
DE,2018,239643.89602758997
DE,2019,250131.5704113159
DE,2020,264998.64893354976
DE,2021,310379.9493558658
DE,2022,354432.2768939093
DE,2023,368664.7859335281
DE,2024,381094.4338045061
FL,2018,210801.53638186058
FL,2019,221937.2944999829
FL,2020,236232.1493911296
FL,2021,277795.3419880556
FL,2022,348519.1618405272
FL,2023,361665.1337473783
FL,2024,365996.51084471476
GA,2018,131195.92160410323
GA,2019,140485.21634207768
GA,2020,151073.57937421615
GA,2021,175390.41191801932
GA,2022,205437.84738077174
GA,2023,214881.8334607355
GA,2024,226410.6011631973
HI,2018,560671.1677290648
HI,2019,578336.8060044504
HI,2020,604517.2644143103
HI,2021,684188.6901136053
HI,2022,818196.301528796
HI,2023,838990.1627394105
HI,2024,865627.9587938641
IA,2018,140189.13336535438
IA,2019,146357.94481251645
IA,2020,153114.90852470184
IA,2021,166466.5034775913
IA,2022,184604.78337071155
IA,2023,190993.969776675
IA,2024,197569.66446129736
ID,2018,238090.57798864853
ID,2019,260382.15072607313
ID,2020,292859.65825923276
ID,2021,379556.53358344047
ID,2022,448523.42421644775
ID,2023,434195.24260131054
ID,2024,443536.3845387718
IL,2018,113186.51412306399
IL,2019,116595.4263037105
IL,2020,121719.87917335262
IL,2021,130818.32238218043
IL,2022,141124.58972882235
IL,2023,145953.31357173258
IL,2024,152903.15845049222
IN,2018,124767.04430353764
IN,2019,133003.29703372007
IN,2020,143018.44528383162
IN,2021,163634.4910922214
IN,2022,184014.2762400332
IN,2023,192252.41120723909
IN,2024,203168.78675592368
KS,2018,116505.95187459678
KS,2019,121462.4059798299
KS,2020,129319.69727993694
KS,2021,145150.62490000116
KS,2022,161834.8540042604
KS,2023,168270.08990003995
KS,2024,176517.62643140776
KY,2018,123728.33755140749
KY,2019,130286.18145825877
KY,2020,141540.08289343066
KY,2021,160670.27018505198
KY,2022,180112.29048454404
KY,2023,188311.04150686075
KY,2024,195007.54844471207
LA,2018,163681.733184214
LA,2019,169054.69450020944
LA,2020,176574.32495758677
LA,2021,181467.55082709424
LA,2022,188274.36280674997
LA,2023,182836.29553098316
LA,2024,178126.25579872326
MA,2018,401180.71991471393
MA,2019,417185.43101987167
MA,2020,439164.5687413949
MA,2021,520763.52851956553
MA,2022,605397.5812233929
MA,2023,629953.6677382163
MA,2024,669472.1734235488
MD,2018,226738.20863728726
MD,2019,235127.68966465225
MD,2020,246914.4591052819
MD,2021,280419.4564110925
MD,2022,306045.656526951
MD,2023,314132.1750458169
MD,2024,326857.8930643012
ME,2018,189591.45742185618
ME,2019,198898.70528933426
ME,2020,216465.146570682
ME,2021,261420.13509578363
ME,2022,300231.1065391018
ME,2023,321244.06731657806
ME,2024,342189.6551890947
MI,2018,141333.30275856878
MI,2019,150173.28809246977
MI,2020,160540.91051586941
MI,2021,183010.94232993168
MI,2022,201947.42390835672
MI,2023,208105.58461238947
MI,2024,217157.89111610933
MN,2018,178238.73671080198
MN,2019,187280.8066597976
MN,2020,197740.75120162254
MN,2021,222029.56028237034
MN,2022,246464.73974948403
MN,2023,253628.48015063407
MN,2024,262293.47708978306
MO,2018,132661.31201285997
MO,2019,139152.22198113904
MO,2020,147974.69624582797
MO,2021,167749.25127160084
MO,2022,188215.93622367945
MO,2023,194949.4069305388
MO,2024,201549.56852365035
MS,2018,126937.15994191398
MS,2019,130136.26479522136
MS,2020,135073.1112180304
MS,2021,147694.2541942327
MS,2022,158033.7800074165
MS,2023,153929.15465448546
MS,2024,156463.58589019804
MT,2018,259529.65053606484
MT,2019,273737.5976049366
MT,2020,295619.8107191654
MT,2021,366664.0400756752
MT,2022,440585.89648188086
MT,2023,443227.7101404342
MT,2024,463633.86522899003
NC,2018,162879.2831105905
NC,2019,171700.1648039997
NC,2020,183743.27445208599
NC,2021,217041.08482586342
NC,2022,255641.01567298014
NC,2023,269617.131545199
NC,2024,281188.89887467236
ND,2018,216484.6393134256
ND,2019,219604.24254299985
ND,2020,227775.1779604196
ND,2021,238640.32533958647
ND,2022,253959.60909901673
ND,2023,258081.0033398103
ND,2024,263079.01427096885
NE,2018,151353.32452436726
NE,2019,158948.97601120741
NE,2020,167390.27831945973
NE,2021,186190.8659544919
NE,2022,207448.72834339866
NE,2023,215915.88886491276
NE,2024,224847.02391638132
NH,2018,215949.29774070036
NH,2019,226135.26449400248
NH,2020,244662.39337714372
NH,2021,294473.8305996441
NH,2022,342299.76537763135
NH,2023,365025.7610326129
NH,2024,391648.1387363062
NJ,2018,249426.879057279
NJ,2019,261042.31813276318
NJ,2020,279478.2984061393
NJ,2021,330912.42297665664
NJ,2022,382190.4805842952
NJ,2023,405005.21657372836
NJ,2024,433255.95859260875
NM,2018,185621.99684851008
NM,2019,196745.70964945492
NM,2020,211713.1175047306
NM,2021,236294.412835379
NM,2022,255519.9280732868
NM,2023,258241.63678485496
NM,2024,263584.01042548317
NV,2018,275403.45251940074
NV,2019,297527.58387577336
NV,2020,316299.5348421859
NV,2021,374809.3181685845
NV,2022,429371.3282143359
NV,2023,412717.2103199578
NV,2024,426392.98843687953
NY,2018,153282.06285386143
NY,2019,158845.75543861368
NY,2020,168186.82567528042
NY,2021,192942.11420125893
NY,2022,214976.4458658712
NY,2023,224531.06760716022
NY,2024,239041.9212128394
OH,2018,118274.75166426085
OH,2019,125243.86491109808
OH,2020,134387.29617930573
OH,2021,153234.78620902676
OH,2022,168113.16991606646
OH,2023,174124.10418429642
OH,2024,184869.12416666173
OK,2018,109396.80118215705
OK,2019,112990.95032287571
OK,2020,119788.19566648289
OK,2021,134960.67559182303
OK,2022,152131.43806936484
OK,2023,157844.76917843282
OK,2024,163196.9087494761
OR,2018,274260.5022066809
OR,2019,290332.0790384157
OR,2020,312118.63757760753
OR,2021,374591.99361051526
OR,2022,427190.1011184513
OR,2023,425272.0285052275
OR,2024,432130.829551215
PA,2018,146077.05380470082
PA,2019,151379.64103240063
PA,2020,161188.99525601976
PA,2021,181105.13466243036
PA,2022,197014.29010072688
PA,2023,204274.80281741382
PA,2024,211697.12322820481
RI,2018,293294.345769381
RI,2019,304183.4153093568
RI,2020,323930.26053331816
RI,2021,375326.71577532095
RI,2022,418312.98383637564
RI,2023,438277.1723849908
RI,2024,472478.51762280194
SC,2018,165248.60220507937
SC,2019,173381.50406724768
SC,2020,184942.7605768267
SC,2021,212231.82228388655
SC,2022,247225.5770421042
SC,2023,255458.8518109685
SC,2024,262907.8219240179
SD,2018,190089.3823603952
SD,2019,197265.20059401038
SD,2020,207908.13058936226
SD,2021,235129.11931164478
SD,2022,268842.9637769846
SD,2023,275849.87764728465
SD,2024,281962.1447028899
TN,2018,150890.69158090587
TN,2019,163241.40430313392
TN,2020,177581.77662376242
TN,2021,206187.45924135784
TN,2022,244124.1526865865
TN,2023,251832.4863778848
TN,2024,263166.4210343673
TX,2018,156701.00400497363
TX,2019,165114.89133783267
TX,2020,176835.59687947656
TX,2021,198714.2607394157
TX,2022,221720.7688963912
TX,2023,219689.22303820655
TX,2024,220317.92428957892
UT,2018,288813.9799434078
UT,2019,312179.00046332716
UT,2020,340842.56830623973
UT,2021,419163.7699861379
UT,2022,500074.26821075275
UT,2023,492267.18001514074
UT,2024,502898.70526735776
VA,2018,192051.06547150877
VA,2019,199273.0970361871
VA,2020,211029.40533132158
VA,2021,238242.86537032924
VA,2022,264459.51855965046
VA,2023,276003.19347493915
VA,2024,288889.526381506
VT,2018,242793.44242441084
VT,2019,247764.53881222138
VT,2020,260962.54653308232
VT,2021,301679.39223309554
VT,2022,344519.0779865933
VT,2023,364974.4282989707
VT,2024,374825.5231677684
WA,2018,277114.47294799663
WA,2019,298723.56618428783
WA,2020,329116.7543703786
WA,2021,394089.6528354169
WA,2022,446747.46577960113
WA,2023,440765.2810782332
WA,2024,452278.3594869344
WI,2018,173948.98481978127
WI,2019,184858.28348957663
WI,2020,197195.05775282782
WI,2021,222094.8478045528
WI,2022,243544.12620563526
WI,2023,259290.0223949599
WI,2024,274390.86730831244
WV,2018,115830.34229174342
WV,2019,117493.96494142301
WV,2020,121353.41435706108
WV,2021,135194.84066605085
WV,2022,145623.52267277136
WV,2023,150765.07176267196
WV,2024,157904.03420579273
WY,2018,275951.02032936004
WY,2019,288709.1408969347
WY,2020,305284.2973358607
WY,2021,350311.94816967926
WY,2022,404896.7085489562
WY,2023,421802.4029180587
WY,2024,437619.1278977818
