State_Name,Year,Population_Estimate
Alabama,2018,4891628
Alaska,2018,736624
Arizona,2018,7164228
Arkansas,2018,3012161
California,2018,39437463
Colorado,2018,5697155
Connecticut,2018,3574561
Delaware,2018,966985
Florida,2018,21254926
Georgia,2018,10519389
Hawaii,2018,1423102
Idaho,2018,1752074
Illinois,2018,12724685
Indiana,2018,6698481
Iowa,2018,3149900
Kansas,2018,2912748
Kentucky,2018,4464273
Louisiana,2018,4664450
Maine,2018,1340123
Maryland,2018,6042153
Massachusetts,2018,6885720
Michigan,2018,9987286
Minnesota,2018,5608762
Mississippi,2018,2982879
Missouri,2018,6125986
Montana,2018,1061818
Nebraska,2018,1925512
Nevada,2018,3030725
New Hampshire,2018,1355064
New Jersey,2018,8891730
New Mexico,2018,2093754
New York,2018,19544098
North Carolina,2018,10391358
North Dakota,2018,760062
Ohio,2018,11680892
Oklahoma,2018,3943488
Oregon,2018,4183538
Pennsylvania,2018,12809107
Rhode Island,2018,1059338
South Carolina,2018,5091702
South Dakota,2018,879386
Tennessee,2018,6778180
Texas,2018,28624564
Utah,2018,3155153
Vermont,2018,624802
Virginia,2018,8510920
Washington,2018,7526793
West Virginia,2018,1805953
Wisconsin,2018,5809319
Wyoming,2018,579054
Alabama,2019,4907965
Alaska,2019,733603
Arizona,2019,7291843
Arkansas,2019,3020985
California,2019,39437610
Colorado,2019,5758486
Connecticut,2019,3566022
Delaware,2019,976668
Florida,2019,21492056
Georgia,2019,10628020
Hawaii,2019,1415615
Idaho,2019,1789060
Illinois,2019,12667017
Indiana,2019,6731010
Iowa,2019,3159596
Kansas,2019,2912635
Kentucky,2019,4472345
Louisiana,2019,4658285
Maine,2019,1345770
Maryland,2019,6054954
Massachusetts,2019,6894883
Michigan,2019,9984795
Minnesota,2019,5640053
Mississippi,2019,2978227
Missouri,2019,6140475
Montana,2019,1070123
Nebraska,2019,1932571
Nevada,2019,3090771
New Hampshire,2019,1360783
New Jersey,2019,8891258
New Mexico,2019,2099634
New York,2019,19463131
North Carolina,2019,10501384
North Dakota,2019,763724
Ohio,2019,11696507
Oklahoma,2019,3960676
Oregon,2019,4216116
Pennsylvania,2019,12798883
Rhode Island,2019,1058158
South Carolina,2019,5157702
South Dakota,2019,887127
Tennessee,2019,6830325
Texas,2019,28986794
Utah,2019,3203383
Vermont,2019,624046
Virginia,2019,8556642
Washington,2019,7614024
West Virginia,2019,1795263
Wisconsin,2019,5824581
Wyoming,2019,580116
Alabama,2020,5032962
Alaska,2020,732906
Arizona,2020,7186647
Arkansas,2020,3014399
California,2020,39527808
Colorado,2020,5786873
Connecticut,2020,3579643
Delaware,2020,991890
Florida,2020,21591325
Georgia,2020,10732595
Hawaii,2020,1451130
Idaho,2020,1849328
Illinois,2020,12795348
Indiana,2020,6790290
Iowa,2020,3191081
Kansas,2020,2938274
Kentucky,2020,4508271
Louisiana,2020,4652145
Maine,2020,1364546
Maryland,2020,6178387
Massachusetts,2020,6985320
Michigan,2020,10072294
Minnesota,2020,5710562
Mississippi,2020,2958385
Missouri,2020,6155074
Montana,2020,1087156
Nebraska,2020,1963318
Nevada,2020,3116851
New Hampshire,2020,1378752
New Jersey,2020,9270476
New Mexico,2020,2118446
New York,2020,20122262
North Carolina,2020,10450215
North Dakota,2020,779612
Ohio,2020,11798534
Oklahoma,2020,3965243
Oregon,2020,4243544
Pennsylvania,2020,12995576
Rhode Island,2020,1096487
South Carolina,2020,5131992
South Dakota,2020,887808
Tennessee,2020,6927736
Texas,2020,29237895
Utah,2020,3283970
Vermont,2020,642965
Virginia,2020,8637303
Washington,2020,7726812
West Virginia,2020,1791670
Wisconsin,2020,5897371
Wyoming,2020,577669
Alabama,2021,5050058
Alaska,2021,734590
Arizona,2021,7274022
Arkansas,2021,3027127
California,2021,39152927
Colorado,2021,5814368
Connecticut,2021,3607765
Delaware,2021,1005130
Florida,2021,21836698
Georgia,2021,10793038
Hawaii,2021,1446909
Idaho,2021,1904855
Illinois,2021,12703354
Indiana,2021,6814223
Iowa,2021,3199037
Kansas,2021,2938966
Kentucky,2021,4508348
Louisiana,2021,4628595
Maine,2021,1379009
Maryland,2021,6176035
Massachusetts,2021,6996721
Michigan,2021,10042362
Minnesota,2021,5714055
Mississippi,2021,2947603
Missouri,2021,6172551
Montana,2021,1106416
Nebraska,2021,1964697
Nevada,2021,3148472
New Hampshire,2021,1387907
New Jersey,2021,9266509
New Mexico,2021,2117300
New York,2021,19835345
North Carolina,2021,10565503
North Dakota,2021,777977
Ohio,2021,11761443
Oklahoma,2021,3992760
Oregon,2021,4254691
Pennsylvania,2021,13016628
Rhode Island,2021,1097381
South Carolina,2021,5194346
South Dakota,2021,896303
Tennessee,2021,6966687
Texas,2021,29572672
Utah,2021,3339874
Vermont,2021,647238
Virginia,2021,8660007
Washington,2021,7744316
West Virginia,2021,1785921
Wisconsin,2021,5882128
Wyoming,2021,579662
Alabama,2022,5076868
Alaska,2022,733659
Arizona,2022,7370065
Arkansas,2022,3047429
California,2022,39125347
Colorado,2022,5853355
Connecticut,2022,3618707
Delaware,2022,1020279
Florida,2022,22413989
Georgia,2022,10929992
Hawaii,2022,1437812
Idaho,2022,1942951
Illinois,2022,12609577
Indiana,2022,6841491
Iowa,2022,3201890
Kansas,2022,2938034
Kentucky,2022,4521238
Louisiana,2022,4600892
Maine,2022,1391585
Maryland,2022,6183257
Massachusetts,2022,7025465
Michigan,2022,10043906
Minnesota,2022,5727565
Mississippi,2022,2941237
Missouri,2022,6179285
Montana,2022,1121533
Nebraska,2022,1972595
Nevada,2022,3177672
New Hampshire,2022,1396647
New Jersey,2022,9298402
New Mexico,2022,2112859
New York,2022,19713025
North Carolina,2022,10705768
North Dakota,2022,780191
Ohio,2022,11764950
Oklahoma,2022,4025327
Oregon,2022,4245964
Pennsylvania,2022,12984655
Rhode Island,2022,1098275
South Carolina,2022,5288957
South Dakota,2022,909156
Tennessee,2022,7063325
Texas,2022,30118002
Utah,2022,3393928
Vermont,2022,647614
Virginia,2022,8681038
Washington,2022,7786828
West Virginia,2022,1774003
Wisconsin,2022,5903472
Wyoming,2022,581742
Alabama,2023,5117850
Alaska,2023,734654
Arizona,2023,7452073
Arkansas,2023,3069856
California,2023,39181667
Colorado,2023,5912240
Connecticut,2023,3641369
Delaware,2023,1035354
Florida,2023,22929248
Georgia,2023,11063669
Hawaii,2023,1434950
Idaho,2023,1970497
Illinois,2023,12633389
Indiana,2023,6881373
Iowa,2023,3214739
Kansas,2023,2949749
Kentucky,2023,4549953
Louisiana,2023,4598777
Maine,2023,1401992
Maryland,2023,6204927
Massachusetts,2023,7073479
Michigan,2023,10062124
Minnesota,2023,5752998
Mississippi,2023,2942470
Missouri,2023,6205956
Montana,2023,1130612
Nebraska,2023,1988172
Nevada,2023,3211077
New Hampshire,2023,1401530
New Jersey,2023,9395315
New Mexico,2023,2119349
New York,2023,19786543
North Carolina,2023,10871849
North Dakota,2023,787071
Ohio,2023,11808390
Oklahoma,2023,4062716
Oregon,2023,4250392
Pennsylvania,2023,13009406
Rhode Island,2023,1101183
South Carolina,2023,5390798
South Dakota,2023,917739
Tennessee,2023,7153029
Texas,2023,30719247
Utah,2023,3449259
Vermont,2023,647722
Virginia,2023,8732034
Washington,2023,7838655
West Virginia,2023,1770036
Wisconsin,2023,5930350
Wyoming,2023,584666
Alabama,2024,5163055
Alaska,2024,736537
Arizona,2024,7556424
Arkansas,2024,3096080
California,2024,39364774
Colorado,2024,5988502
Connecticut,2024,3674449
Delaware,2024,1050123
Florida,2024,23265838
Georgia,2024,11204208
Hawaii,2024,1434952
Idaho,2024,2000872
Illinois,2024,12703033
Indiana,2024,6934754
Iowa,2024,3230454
Kansas,2024,2965252
Kentucky,2024,4584046
Louisiana,2024,4614878
Maine,2024,1408438
Maryland,2024,6245314
Massachusetts,2024,7138560
Michigan,2024,10099962
Minnesota,2024,5797405
Mississippi,2024,2950172
Missouri,2024,6243544
Montana,2024,1137557
Nebraska,2024,2005591
Nevada,2024,3253543
New Hampshire,2024,1408518
New Jersey,2024,9506354
New Mexico,2024,2126774
New York,2024,20001419
North Carolina,2024,11052061
North Dakota,2024,793387
Ohio,2024,11860621
Oklahoma,2024,4097758
Oregon,2024,4265324
Pennsylvania,2024,13045848
Rhode Island,2024,1110415
South Carolina,2024,5490316
South Dakota,2024,927110
Tennessee,2024,7251291
Texas,2024,31318578
Utah,2024,3502983
Vermont,2024,646521
Virginia,2024,8819642
Washington,2024,7927958
West Virginia,2024,1767402
Wisconsin,2024,5957168
Wyoming,2024,586722
